ID,Sex,Weight,Height
1,M,77,182
2,F,58,161
3,F,53,161
4,M,68,177
5,F,59,157
6,M,76,170
7,M,76,167
8,M,69,186
9,M,71,178
10,M,65,171
11,M,70,175
12,F,166,57
13,F,51,161
14,F,64,168
15,F,52,163
16,F,65,166
17,M,92,187
18,F,62,168
19,M,76,197
20,F,61,175
21,M,119,180
22,F,61,170
23,M,65,175
24,M,66,173
25,F,54,171
26,F,50,166
27,F,63,169
28,F,58,166
29,F,39,157
30,M,101,183
31,F,71,166
32,M,75,178
33,M,79,173
34,F,52,164
35,F,68,169
36,M,64,176
37,F,56,166
38,M,69,174
39,M,88,178
40,M,65,187
41,F,54,164
42,M,80,178
43,F,63,163
44,M,78,183
45,M,85,179
46,F,54,160
47,M,73,180
48,F,49,161
49,F,54,174
50,F,75,162
51,M,82,182
52,F,56,165
53,M,74,169
54,M,102,185
55,M,64,177
56,M,65,176
57,F,66,170
58,M,73,183
59,M,75,172
60,M,57,173
61,M,68,165
62,M,71,177
63,M,71,180
64,F,78,173
65,M,97,189
66,F,60,162
67,F,64,165
68,F,64,164
69,F,52,158
70,M,80,178
71,F,62,175
72,M,66,173
73,F,55,165
74,F,56,163
75,F,50,166
76,F,50,171
77,F,50,160
78,F,63,160
79,M,69,182
80,M,69,183
81,F,61,165
82,M,55,168
83,F,53,169
84,F,60,167
85,F,56,170
86,M,59,182
87,M,62,178
88,F,53,165
89,F,57,163
90,F,57,162
91,M,70,173
92,F,56,161
93,M,84,184
94,M,69,180
95,M,88,189
96,F,56,165
97,M,103,185
98,F,50,169
99,F,52,159
100,F,55,155
101,F,55,164
102,M,63,178
103,F,47,163
104,F,45,163
105,F,62,175
106,F,53,164
107,F,52,152
108,F,57,167
109,F,64,166
110,F,59,166
111,M,84,183
112,M,79,179
113,F,55,174
114,M,67,179
115,F,76,167
116,F,62,168
117,M,83,184
118,M,96,184
119,M,75,169
120,M,65,178
121,M,78,178
122,M,69,167
123,F,68,178
124,F,55,165
125,M,67,179
126,F,52,169
127,F,47,153
128,F,45,157
129,F,68,171
130,F,44,157
131,F,62,166
132,M,87,185
133,F,56,160
134,F,50,148
135,M,83,177
136,F,53,162
137,F,64,172
138,F,62,167
139,M,90,188
140,M,85,191
141,M,66,175
142,F,52,163
143,F,53,165
144,F,54,176
145,F,64,171
146,F,55,160
147,F,55,165
148,F,59,157
149,F,70,173
150,M,88,184
151,F,57,168
152,F,47,162
153,F,47,150
154,F,55,162
155,F,48,163
156,M,54,169
157,M,69,172
158,F,59,170
159,F,58,169
160,F,57,167
161,F,51,163
162,F,54,161
163,F,53,162
164,F,59,172
165,M,56,163
166,F,59,159
167,F,63,170
168,F,66,166
169,M,96,191
170,F,53,158
171,M,76,169
172,F,54,163
173,M,61,170
174,M,82,176
175,M,62,168
176,M,71,178
177,F,60,174
178,M,66,170
179,M,81,178
180,M,68,174
181,M,80,176
182,F,43,154
183,M,82,181
184,F,63,165
185,M,70,173
186,F,56,162
187,F,60,172
188,F,58,169
189,M,76,183
190,F,50,158
191,M,88,185
192,M,89,173
193,F,59,164
194,F,51,156
195,F,62,164
196,M,74,175
197,M,83,180
198,M,81,175
199,M,90,181
200,M,79,177
